2026-01-23T16:07:29.291-0800	INFO	livekit	server/main.go:212	starting in development mode
2026-01-23T16:07:44.525-0800	DEBUG	livekit	service/rtcservice.go:390	sending initial response	{"connID": "CO_38weKhxdzxGA", "response": {"join": {"room": {"sid": "RM_NWWe9PBEZDsB", "name": "test-room", "emptyTimeout": 300, "departureTimeout": 20, "creationTime": 1769213264, "creationTimeMs": 1769213264508, "turnPassword": "2YIyarPfc0eR6HcKspd4q6PeF4WxS6sVqMnZlCM5By0A", "enabledCodecs": [{"mime": "audio/PCMU"}, {"mime": "audio/PCMA"}, {"mime": "audio/opus"}, {"mime": "audio/red"}, {"mime": "video/VP8"}, {"mime": "video/H264"}, {"mime": "video/VP9"}, {"mime": "video/AV1"}, {"mime": "video/H265"}, {"mime": "video/rtx"}]}, "participant": {"sid": "PA_4Jp57eSJ3qGS", "identity": "User", "state": "JOINING", "joinedAt": 1769213264, "joinedAtMs": 1769213264511, "permission": {"canSubscribe": true, "canPublish": true, "canPublishData": true}, "kind": "STANDARD", "disconnectReason": "UNKNOWN_REASON"}, "serverVersion": "1.9.9", "iceServers": [{"urls": ["stun:global.stun.twilio.com:3478", "stun:stun.l.google.com:19302", "stun:stun1.l.google.com:19302"]}], "subscriberPrimary": true, "pingTimeout": 15, "pingInterval": 5, "serverInfo": {"edition": "Standard", "version": "1.9.9", "protocol": 16, "nodeId": "ND_xLjy87pnsAug", "agentProtocol": 1}, "sifTrailer": "RHJmRnM3dUI1bUZSdGxoZ1ZGRTNzUGFVV29IMXptUWZsWjdFM3ZFd0JVUQ", "enabledPublishCodecs": [{"mime": "video/VP8"}, {"mime": "video/H264"}, {"mime": "video/VP9"}, {"mime": "video/AV1"}, {"mime": "video/H265"}, {"mime": "audio/PCMU"}, {"mime": "audio/PCMA"}, {"mime": "audio/opus"}, {"mime": "audio/red"}], "fastPublish": true}}, "room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS"}
2026-01-23T16:07:44.525-0800	DEBUG	livekit	rtc/participant.go:1537	SetMigrateState	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "state": "MIGRATE_STATE_COMPLETE"}
2026-01-23T16:07:44.525-0800	DEBUG	livekit	service/rtcservice.go:399	new client WS connected	{"connID": "CO_38weKhxdzxGA", "reconnect": false, "reconnectReason": "RR_UNKNOWN", "adaptiveStream": true, "selectedNodeID": "ND_xLjy87pnsAug", "nodeSelectionReason": "", "room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS"}
2026-01-23T16:07:44.525-0800	DEBUG	livekit	service/rtcservice.go:483	sending signal response	{"connID": "CO_38weKhxdzxGA", "response": {"RefreshToken":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NjkyMTM4NjQsImlkZW50aXR5IjoiVXNlciIsImlzcyI6ImRldmtleSIsImtpbmQiOiJzdGFuZGFyZCIsIm5iZiI6MTc2OTIxMzI2NCwic3ViIjoiVXNlciIsInZpZGVvIjp7ImNhblB1Ymxpc2giOnRydWUsImNhblN1YnNjcmliZSI6dHJ1ZSwicm9vbSI6InRlc3Qtcm9vbSIsInJvb21Kb2luIjp0cnVlfX0.CEQ9IKxAKWAKCNkQBt-Kx6q0yyu5on3A4UUQZZllXjM"}, "room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS"}
2026-01-23T16:07:44.525-0800	DEBUG	livekit	signalling/signallerasync.go:105	sent signal response	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "response": {"refreshToken": "eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NjkyMTM4NjQsImlkZW50aXR5IjoiVXNlciIsImlzcyI6ImRldmtleSIsImtpbmQiOiJzdGFuZGFyZCIsIm5iZiI6MTc2OTIxMzI2NCwic3ViIjoiVXNlciIsInZpZGVvIjp7ImNhblB1Ymxpc2giOnRydWUsImNhblN1YnNjcmliZSI6dHJ1ZSwicm9vbSI6InRlc3Qtcm9vbSIsInJvb21Kb2luIjp0cnVlfX0.CEQ9IKxAKWAKCNkQBt-Kx6q0yyu5on3A4UUQZZllXjM"}}
2026-01-23T16:07:44.529-0800	DEBUG	livekit.transport	rtc/transport.go:768	ice gathering state change	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "transport": "SUBSCRIBER", "state": "gathering"}
2026-01-23T16:07:44.529-0800	DEBUG	livekit.sub	rtc/participant.go:2123	sending offer	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "transport": "SUBSCRIBER", "offer": {"type":"offer","sdp":"v=0\r\no=- 2368098099604704523 1769213264 IN IP4 0.0.0.0\r\ns=-\r\nt=0 0\r\na=msid-semantic:WMS *\r\na=fingerprint:sha-256 9A:FF:C7:9A:23:37:5E:BA:CD:18:EC:E4:46:68:61:0C:B4:05:48:3D:F3:0A:52:BE:0B:71:FC:0A:23:B3:A2:16\r\na=extmap-allow-mixed\r\na=group:BUNDLE 0\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=setup:actpass\r\na=mid:0\r\na=sendrecv\r\na=sctp-port:5000\r\na=max-message-size:65535\r\na=ice-ufrag:CNfYYrMGCqyPkqHF\r\na=ice-pwd:FHInNYxaQtNihocrfdInJCBFNXdwMVaV\r\n"}, "offerId": 148, "midToTrackID": {}}
2026-01-23T16:07:44.530-0800	DEBUG	livekit	signalling/signallerasync.go:105	sent signal response	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "response": {"offer": {"type": "offer", "sdp": "v=0\r\no=- 2368098099604704523 1769213264 IN IP4 0.0.0.0\r\ns=-\r\nt=0 0\r\na=msid-semantic:WMS *\r\na=fingerprint:sha-256 9A:FF:C7:9A:23:37:5E:BA:CD:18:EC:E4:46:68:61:0C:B4:05:48:3D:F3:0A:52:BE:0B:71:FC:0A:23:B3:A2:16\r\na=extmap-allow-mixed\r\na=group:BUNDLE 0\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=setup:actpass\r\na=mid:0\r\na=sendrecv\r\na=sctp-port:5000\r\na=max-message-size:65535\r\na=ice-ufrag:CNfYYrMGCqyPkqHF\r\na=ice-pwd:FHInNYxaQtNihocrfdInJCBFNXdwMVaV\r\n", "id": 148}}}
2026-01-23T16:07:44.530-0800	DEBUG	livekit	service/rtcservice.go:443	sending offer	{"connID": "CO_38weKhxdzxGA", "offer": {"Offer":{"type":"offer","sdp":"v=0\r\no=- 2368098099604704523 1769213264 IN IP4 0.0.0.0\r\ns=-\r\nt=0 0\r\na=msid-semantic:WMS *\r\na=fingerprint:sha-256 9A:FF:C7:9A:23:37:5E:BA:CD:18:EC:E4:46:68:61:0C:B4:05:48:3D:F3:0A:52:BE:0B:71:FC:0A:23:B3:A2:16\r\na=extmap-allow-mixed\r\na=group:BUNDLE 0\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=setup:actpass\r\na=mid:0\r\na=sendrecv\r\na=sctp-port:5000\r\na=max-message-size:65535\r\na=ice-ufrag:CNfYYrMGCqyPkqHF\r\na=ice-pwd:FHInNYxaQtNihocrfdInJCBFNXdwMVaV\r\n","id":148}}, "room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS"}
2026-01-23T16:07:44.530-0800	DEBUG	livekit	rtc/participant_signal.go:224	sending ICE candidate	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "transport": "SUBSCRIBER", "trickle": {"candidateInit": "{\"candidate\":\"candidate:4006465565 1 udp 2130706431 192.168.86.29 7882 typ host ufrag CNfYYrMGCqyPkqHF\",\"sdpMid\":\"0\",\"sdpMLineIndex\":0,\"usernameFragment\":null}", "target": "SUBSCRIBER"}}
2026-01-23T16:07:44.530-0800	DEBUG	livekit	signalling/signallerasync.go:105	sent signal response	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "response": {"trickle": {"candidateInit": "{\"candidate\":\"candidate:4006465565 1 udp 2130706431 192.168.86.29 7882 typ host ufrag CNfYYrMGCqyPkqHF\",\"sdpMid\":\"0\",\"sdpMLineIndex\":0,\"usernameFragment\":null}", "target": "SUBSCRIBER"}}}
2026-01-23T16:07:44.530-0800	DEBUG	livekit	service/rtcservice.go:483	sending signal response	{"connID": "CO_38weKhxdzxGA", "response": {"Trickle":{"candidateInit":"{\"candidate\":\"candidate:4006465565 1 udp 2130706431 192.168.86.29 7882 typ host ufrag CNfYYrMGCqyPkqHF\",\"sdpMid\":\"0\",\"sdpMLineIndex\":0,\"usernameFragment\":null}","target":1}}, "room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS"}
2026-01-23T16:07:44.567-0800	DEBUG	livekit	service/rtcservice.go:541	received answer	{"connID": "CO_38weKhxdzxGA", "answer": {"Answer":{"type":"answer","sdp":"v=0\r\no=- 4993380619601884281 2 IN IP4 127.0.0.1\r\ns=-\r\nt=0 0\r\na=extmap-allow-mixed\r\na=msid-semantic:  WMS\r\na=group:BUNDLE 0\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=setup:active\r\na=mid:0\r\na=ice-ufrag:DhQb\r\na=ice-pwd:S8LhGi88o/rDBo9avq4i1+MY\r\na=fingerprint:sha-256 1B:BC:DD:0D:7B:91:88:4C:DF:F5:F8:09:2B:BE:41:10:C0:00:A8:1C:5B:EB:DE:8D:C7:5B:37:46:DC:18:98:85\r\na=ice-options:trickle\r\na=sctp-port:5000\r\na=max-message-size:65535\r\n","id":148}}, "room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS"}
2026-01-23T16:07:44.567-0800	DEBUG	livekit	signalling/signalhandler.go:57	handling signal request	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "request": {"answer": {"type": "answer", "sdp": "v=0\r\no=- 4993380619601884281 2 IN IP4 127.0.0.1\r\ns=-\r\nt=0 0\r\na=extmap-allow-mixed\r\na=msid-semantic:  WMS\r\na=group:BUNDLE 0\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=setup:active\r\na=mid:0\r\na=ice-ufrag:DhQb\r\na=ice-pwd:S8LhGi88o/rDBo9avq4i1+MY\r\na=fingerprint:sha-256 1B:BC:DD:0D:7B:91:88:4C:DF:F5:F8:09:2B:BE:41:10:C0:00:A8:1C:5B:EB:DE:8D:C7:5B:37:46:DC:18:98:85\r\na=ice-options:trickle\r\na=sctp-port:5000\r\na=max-message-size:65535\r\n", "id": 148}}}
2026-01-23T16:07:44.567-0800	DEBUG	livekit.sub	rtc/participant.go:1196	received answer	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "transport": "SUBSCRIBER", "answer": {"type":"answer","sdp":"v=0\r\no=- 4993380619601884281 2 IN IP4 127.0.0.1\r\ns=-\r\nt=0 0\r\na=extmap-allow-mixed\r\na=msid-semantic:  WMS\r\na=group:BUNDLE 0\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=setup:active\r\na=mid:0\r\na=ice-ufrag:DhQb\r\na=ice-pwd:S8LhGi88o/rDBo9avq4i1+MY\r\na=fingerprint:sha-256 1B:BC:DD:0D:7B:91:88:4C:DF:F5:F8:09:2B:BE:41:10:C0:00:A8:1C:5B:EB:DE:8D:C7:5B:37:46:DC:18:98:85\r\na=ice-options:trickle\r\na=sctp-port:5000\r\na=max-message-size:65535\r\n"}, "answerId": 148}
2026-01-23T16:07:44.567-0800	DEBUG	livekit.transport	rtc/transport.go:2830	processing answer	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "transport": "SUBSCRIBER", "answerId": 148}
2026-01-23T16:07:44.568-0800	DEBUG	livekit.transport	rtc/transport.go:799	ice connection state change	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "transport": "SUBSCRIBER", "state": "checking"}
2026-01-23T16:07:44.568-0800	DEBUG	livekit.transport	rtc/transport.go:810	peer connection state change	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "transport": "SUBSCRIBER", "state": "connecting"}
2026-01-23T16:07:44.568-0800	DEBUG	livekit	service/rtcservice.go:543	received signal request	{"connID": "CO_38weKhxdzxGA", "request": {"Trickle":{"candidateInit":"{\"candidate\":\"candidate:1308257156 1 udp 2122260223 192.168.86.29 54300 typ host generation 0 ufrag DhQb network-id 1 network-cost 10\",\"sdpMid\":\"0\",\"sdpMLineIndex\":0,\"usernameFragment\":\"DhQb\"}","target":1}}, "room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS"}
2026-01-23T16:07:44.568-0800	DEBUG	livekit	signalling/signalhandler.go:57	handling signal request	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "request": {"trickle": {"candidateInit": "{\"candidate\":\"candidate:1308257156 1 udp 2122260223 192.168.86.29 54300 typ host generation 0 ufrag DhQb network-id 1 network-cost 10\",\"sdpMid\":\"0\",\"sdpMLineIndex\":0,\"usernameFragment\":\"DhQb\"}", "target": "SUBSCRIBER"}}}
2026-01-23T16:07:44.568-0800	DEBUG	livekit.transport	rtc/transport.go:2377	added ICE candidate	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "transport": "SUBSCRIBER", "candidate": {"candidate":"candidate:1308257156 1 udp 2122260223 192.168.86.29 54300 typ host generation 0 ufrag DhQb network-id 1 network-cost 10","sdpMid":"0","sdpMLineIndex":0,"usernameFragment":"DhQb"}}
2026-01-23T16:07:44.580-0800	DEBUG	livekit	service/rtcservice.go:539	received offer	{"connID": "CO_38weKhxdzxGA", "offer": {"Offer":{"type":"offer","sdp":"v=0\r\no=- 7630688147674136791 2 IN IP4 127.0.0.1\r\ns=-\r\nt=0 0\r\na=extmap-allow-mixed\r\na=msid-semantic:  WMS\r\na=group:BUNDLE 0\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=setup:actpass\r\na=mid:0\r\na=ice-ufrag:CeOS\r\na=ice-pwd:QeL/wXopeS/F0PE18MdvuYrB\r\na=fingerprint:sha-256 55:38:39:F6:9A:35:60:8B:1E:23:37:0A:41:E4:04:D4:55:87:F8:DF:2D:AA:0E:C0:DF:99:35:50:9A:AC:13:65\r\na=ice-options:trickle\r\na=sctp-port:5000\r\na=max-message-size:262144\r\n","id":1}}, "room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS"}
2026-01-23T16:07:44.580-0800	DEBUG	livekit	signalling/signalhandler.go:57	handling signal request	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "request": {"offer": {"type": "offer", "sdp": "v=0\r\no=- 7630688147674136791 2 IN IP4 127.0.0.1\r\ns=-\r\nt=0 0\r\na=extmap-allow-mixed\r\na=msid-semantic:  WMS\r\na=group:BUNDLE 0\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=setup:actpass\r\na=mid:0\r\na=ice-ufrag:CeOS\r\na=ice-pwd:QeL/wXopeS/F0PE18MdvuYrB\r\na=fingerprint:sha-256 55:38:39:F6:9A:35:60:8B:1E:23:37:0A:41:E4:04:D4:55:87:F8:DF:2D:AA:0E:C0:DF:99:35:50:9A:AC:13:65\r\na=ice-options:trickle\r\na=sctp-port:5000\r\na=max-message-size:262144\r\n", "id": 1}}}
2026-01-23T16:07:44.580-0800	DEBUG	livekit.pub	rtc/participant.go:1111	received offer	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "transport": "PUBLISHER", "offer": {"type":"offer","sdp":"v=0\r\no=- 7630688147674136791 2 IN IP4 127.0.0.1\r\ns=-\r\nt=0 0\r\na=extmap-allow-mixed\r\na=msid-semantic:  WMS\r\na=group:BUNDLE 0\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=setup:actpass\r\na=mid:0\r\na=ice-ufrag:CeOS\r\na=ice-pwd:QeL/wXopeS/F0PE18MdvuYrB\r\na=fingerprint:sha-256 55:38:39:F6:9A:35:60:8B:1E:23:37:0A:41:E4:04:D4:55:87:F8:DF:2D:AA:0E:C0:DF:99:35:50:9A:AC:13:65\r\na=ice-options:trickle\r\na=sctp-port:5000\r\na=max-message-size:262144\r\n"}, "offerId": 1}
2026-01-23T16:07:44.580-0800	DEBUG	livekit.transport	rtc/transport.go:2754	processing offer	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "transport": "PUBLISHER", "offerId": 1}
2026-01-23T16:07:44.580-0800	DEBUG	livekit	service/rtcservice.go:543	received signal request	{"connID": "CO_38weKhxdzxGA", "request": {"Trickle":{"candidateInit":"{\"candidate\":\"candidate:3232128720 1 udp 2122260223 192.168.86.29 56127 typ host generation 0 ufrag CeOS network-id 1 network-cost 10\",\"sdpMid\":\"0\",\"sdpMLineIndex\":0,\"usernameFragment\":\"CeOS\"}"}}, "room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS"}
2026-01-23T16:07:44.580-0800	DEBUG	livekit	signalling/signalhandler.go:57	handling signal request	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "request": {"trickle": {"candidateInit": "{\"candidate\":\"candidate:3232128720 1 udp 2122260223 192.168.86.29 56127 typ host generation 0 ufrag CeOS network-id 1 network-cost 10\",\"sdpMid\":\"0\",\"sdpMLineIndex\":0,\"usernameFragment\":\"CeOS\"}", "target": "PUBLISHER"}}}
2026-01-23T16:07:44.581-0800	DEBUG	livekit.transport	rtc/transport.go:768	ice gathering state change	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "transport": "PUBLISHER", "state": "gathering"}
2026-01-23T16:07:44.581-0800	DEBUG	livekit.transport	rtc/transport.go:799	ice connection state change	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "transport": "PUBLISHER", "state": "checking"}
2026-01-23T16:07:44.581-0800	DEBUG	livekit.transport	rtc/transport.go:810	peer connection state change	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "transport": "PUBLISHER", "state": "connecting"}
